epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3196,1.85809,3.70838,1.67998,0.26115,0.25602,0.17565,0.08049,2.15889,5.5326,1.65547,0.08119,0.00019,0.00019
2,26.4136,1.61487,1.52137,1.44476,0.46344,0.39273,0.37262,0.22144,1.64431,7.53122,1.52493,0.0613896,0.000389614,0.000389614
3,38.4513,1.64064,1.45659,1.46456,0.36734,0.50026,0.35026,0.19314,1.43971,5.50535,1.36772,0.0415888,0.000588832,0.000588832
4,49.9788,1.56758,1.3749,1.42249,0.55228,0.47158,0.48542,0.26762,1.59741,5.21961,1.464,0.0217877,0.000787654,0.000787654
5,61.3358,1.54198,1.30718,1.421,0.45816,0.51613,0.46205,0.27473,1.47348,7.92118,1.4251,0.00198608,0.00098608,0.00098608
6,72.4149,1.53232,1.29744,1.40119,0.42802,0.40963,0.33382,0.15805,1.78385,3.34625,1.56629,0.00099505,0.00099505,0.00099505
7,83.7125,1.52555,1.32041,1.41608,0.40447,0.38095,0.33475,0.16744,1.82477,3.78555,1.6249,0.00099406,0.00099406,0.00099406
8,94.7168,1.5682,1.38585,1.43171,0.64392,0.56733,0.59552,0.34066,1.45402,1.5651,1.32645,0.00099307,0.00099307,0.00099307
9,105.823,1.53328,1.31413,1.4294,0.50173,0.45673,0.42162,0.23333,1.65131,2.20362,1.45657,0.00099208,0.00099208,0.00099208
10,116.89,1.48947,1.23784,1.38698,0.611,0.60164,0.58315,0.34707,1.48134,1.6871,1.32801,0.00099109,0.00099109,0.00099109
11,127.837,1.50817,1.3254,1.40863,0.58065,0.47363,0.45548,0.26723,1.66142,1.79098,1.49799,0.0009901,0.0009901,0.0009901
12,138.807,1.50525,1.23964,1.41339,0.6359,0.60369,0.62175,0.36639,1.44625,1.45838,1.32561,0.00098911,0.00098911,0.00098911
13,149.854,1.52168,1.28151,1.41362,0.6828,0.60215,0.63517,0.38328,1.37008,1.54206,1.29756,0.00098812,0.00098812,0.00098812
14,160.839,1.46365,1.19314,1.38693,0.7327,0.61034,0.68486,0.3926,1.49219,1.40705,1.30491,0.00098713,0.00098713,0.00098713
15,171.971,1.48185,1.26772,1.3781,0.66712,0.58696,0.63932,0.34273,1.62183,1.47416,1.37062,0.00098614,0.00098614,0.00098614
16,184.461,1.45661,1.21458,1.38021,0.64195,0.65694,0.6526,0.36345,1.56761,1.48113,1.36196,0.00098515,0.00098515,0.00098515
17,196.9,1.50393,1.19899,1.39292,0.61607,0.61546,0.57849,0.32658,1.45553,1.64197,1.30363,0.00098416,0.00098416,0.00098416
18,209.479,1.4465,1.16752,1.37495,0.64715,0.57848,0.60517,0.36972,1.4261,1.63221,1.31899,0.00098317,0.00098317,0.00098317
19,222.554,1.45662,1.21792,1.35843,0.68155,0.57194,0.6237,0.3814,1.4335,1.24453,1.27037,0.00098218,0.00098218,0.00098218
20,235.704,1.43457,1.16396,1.35588,0.70477,0.61188,0.65612,0.39408,1.42387,1.12802,1.26609,0.00098119,0.00098119,0.00098119
21,246.649,1.44839,1.15756,1.37523,0.77333,0.65182,0.70188,0.41187,1.48,1.16704,1.27402,0.0009802,0.0009802,0.0009802
22,257.671,1.44221,1.12937,1.32235,0.64522,0.64926,0.6729,0.38487,1.45609,1.30593,1.29686,0.00097921,0.00097921,0.00097921
23,268.551,1.39372,1.10952,1.32123,0.75183,0.57911,0.64338,0.39228,1.46344,1.28596,1.32464,0.00097822,0.00097822,0.00097822
24,279.759,1.39983,1.11733,1.33562,0.60946,0.66974,0.63167,0.39074,1.32182,1.30837,1.22393,0.00097723,0.00097723,0.00097723
25,290.808,1.39528,1.09151,1.32376,0.74256,0.66315,0.70649,0.44706,1.2839,1.08149,1.21948,0.00097624,0.00097624,0.00097624
26,301.881,1.40478,1.08932,1.33575,0.73327,0.63902,0.67964,0.41562,1.41668,1.14591,1.29767,0.00097525,0.00097525,0.00097525
27,312.994,1.38144,1.08683,1.31411,0.75968,0.68152,0.73783,0.4661,1.32951,1.15004,1.23872,0.00097426,0.00097426,0.00097426
28,324.338,1.35182,1.09561,1.2955,0.71804,0.6851,0.7162,0.44825,1.33301,1.12615,1.21836,0.00097327,0.00097327,0.00097327
29,335.608,1.36723,1.1258,1.30409,0.72591,0.64721,0.69893,0.39646,1.46206,1.10715,1.27036,0.00097228,0.00097228,0.00097228
30,346.536,1.34314,1.07153,1.28959,0.75386,0.66021,0.71449,0.46429,1.21768,1.05817,1.15284,0.00097129,0.00097129,0.00097129
31,357.507,1.35942,1.08776,1.30858,0.70821,0.63543,0.67469,0.4188,1.32437,1.16984,1.22544,0.0009703,0.0009703,0.0009703
32,368.352,1.36356,1.04207,1.28493,0.7516,0.6569,0.71971,0.45728,1.31741,1.05689,1.2037,0.00096931,0.00096931,0.00096931
33,379.232,1.33496,1.07698,1.28696,0.74991,0.68664,0.73317,0.46521,1.27159,1.0278,1.19648,0.00096832,0.00096832,0.00096832
34,390.114,1.31022,1.02374,1.2919,0.78708,0.67435,0.7431,0.47641,1.28257,0.99853,1.1776,0.00096733,0.00096733,0.00096733
35,401.075,1.34759,1.03158,1.28196,0.77157,0.68142,0.72645,0.40622,1.53675,1.04081,1.29404,0.00096634,0.00096634,0.00096634
36,412.012,1.39541,1.043,1.32317,0.73315,0.69073,0.72196,0.43037,1.43875,1.10393,1.24481,0.00096535,0.00096535,0.00096535
37,422.947,1.34087,1.07367,1.31315,0.7939,0.66564,0.73233,0.45261,1.36471,1.00677,1.2166,0.00096436,0.00096436,0.00096436
38,433.928,1.32715,1.03878,1.28769,0.74648,0.65733,0.70929,0.44897,1.2977,1.04194,1.19561,0.00096337,0.00096337,0.00096337
39,444.776,1.31237,1.04465,1.28947,0.83455,0.66103,0.74307,0.46877,1.31291,0.97873,1.20083,0.00096238,0.00096238,0.00096238
40,455.722,1.27746,1.03988,1.26559,0.7455,0.68694,0.72754,0.45636,1.2871,1.03423,1.17422,0.00096139,0.00096139,0.00096139
41,466.686,1.29286,1.00198,1.26856,0.79851,0.69432,0.75992,0.5138,1.15799,0.93536,1.13984,0.0009604,0.0009604,0.0009604
42,477.59,1.31125,1.00172,1.28166,0.81502,0.67537,0.74722,0.48664,1.26658,0.95299,1.15934,0.00095941,0.00095941,0.00095941
43,488.475,1.29421,1.00217,1.26361,0.77206,0.69995,0.75247,0.47459,1.28399,0.98295,1.18468,0.00095842,0.00095842,0.00095842
44,499.384,1.28573,1.00026,1.2596,0.74326,0.69739,0.7468,0.45443,1.36896,0.98188,1.21517,0.00095743,0.00095743,0.00095743
45,510.335,1.28831,0.98396,1.27526,0.77923,0.67947,0.73012,0.45962,1.32914,1.01064,1.21296,0.00095644,0.00095644,0.00095644
46,521.386,1.31676,1.0375,1.28383,0.68022,0.61429,0.68672,0.45369,1.2345,1.11475,1.19504,0.00095545,0.00095545,0.00095545
47,532.333,1.30821,1.00601,1.27182,0.7954,0.71838,0.76348,0.48843,1.26942,0.96551,1.18377,0.00095446,0.00095446,0.00095446
48,543.219,1.26352,0.98476,1.26621,0.78826,0.69841,0.75025,0.48722,1.26967,0.93589,1.18512,0.00095347,0.00095347,0.00095347
49,554.112,1.21896,0.94185,1.22841,0.79827,0.70609,0.77102,0.49218,1.29129,0.94386,1.18678,0.00095248,0.00095248,0.00095248
50,565.051,1.22321,0.94318,1.23609,0.83837,0.68612,0.7609,0.49197,1.27579,0.90781,1.16012,0.00095149,0.00095149,0.00095149
51,575.979,1.2042,0.93976,1.22892,0.85096,0.66667,0.76502,0.50862,1.23012,0.89503,1.17218,0.0009505,0.0009505,0.0009505
52,586.829,1.29701,0.97858,1.2617,0.81032,0.66496,0.74318,0.46794,1.34081,0.98448,1.20527,0.00094951,0.00094951,0.00094951
53,597.73,1.20036,0.93453,1.22746,0.84846,0.68817,0.76867,0.49774,1.28332,0.91112,1.16675,0.00094852,0.00094852,0.00094852
54,608.766,1.24764,0.9579,1.24937,0.75639,0.68664,0.74584,0.48187,1.25532,0.98175,1.16265,0.00094753,0.00094753,0.00094753
55,619.706,1.24005,0.9331,1.23021,0.79193,0.70159,0.7608,0.48554,1.31422,0.92582,1.1904,0.00094654,0.00094654,0.00094654
56,630.62,1.22097,0.90432,1.2147,0.77081,0.67849,0.75415,0.49642,1.23788,0.97115,1.14986,0.00094555,0.00094555,0.00094555
57,641.49,1.2008,0.91581,1.22219,0.73112,0.74142,0.75937,0.49973,1.22607,0.99255,1.157,0.00094456,0.00094456,0.00094456
58,652.546,1.15854,0.87587,1.20105,0.74369,0.7148,0.762,0.51638,1.15078,0.94912,1.13284,0.00094357,0.00094357,0.00094357
59,663.606,1.15421,0.90381,1.18153,0.68941,0.6967,0.72384,0.47164,1.24073,1.08061,1.16077,0.00094258,0.00094258,0.00094258
60,674.418,1.2236,0.967,1.23056,0.83517,0.69012,0.78336,0.51142,1.21629,0.86704,1.13968,0.00094159,0.00094159,0.00094159
61,685.313,1.2163,0.90977,1.2147,0.77265,0.70968,0.77078,0.50256,1.2589,0.89987,1.16743,0.0009406,0.0009406,0.0009406
62,696.243,1.22351,0.90481,1.25076,0.71673,0.68766,0.73858,0.48762,1.21053,0.96673,1.16696,0.00093961,0.00093961,0.00093961
63,707.094,1.17071,0.88676,1.19271,0.82703,0.69278,0.77062,0.4914,1.31223,0.90455,1.1802,0.00093862,0.00093862,0.00093862
64,717.921,1.17338,0.86599,1.20822,0.86804,0.68709,0.78618,0.53762,1.14405,0.83295,1.11657,0.00093763,0.00093763,0.00093763
65,728.775,1.18543,0.90542,1.21539,0.77922,0.70659,0.76447,0.50529,1.21,0.9394,1.14754,0.00093664,0.00093664,0.00093664
66,739.63,1.21925,0.88494,1.23348,0.84717,0.70105,0.79407,0.49165,1.35595,0.92648,1.20422,0.00093565,0.00093565,0.00093565
67,750.474,1.15824,0.8593,1.1929,0.79969,0.70609,0.77474,0.52311,1.15732,0.86833,1.11032,0.00093466,0.00093466,0.00093466
68,761.32,1.16329,0.85818,1.17576,0.79129,0.69739,0.77023,0.53201,1.11589,0.85128,1.09856,0.00093367,0.00093367,0.00093367
69,772.296,1.1675,0.85271,1.19424,0.82102,0.71876,0.79067,0.54622,1.10809,0.84885,1.10013,0.00093268,0.00093268,0.00093268
70,783.266,1.19546,0.8989,1.20602,0.8134,0.71941,0.78685,0.53642,1.12366,0.8346,1.11001,0.00093169,0.00093169,0.00093169
71,794.137,1.17328,0.83662,1.21823,0.82827,0.68971,0.77619,0.53835,1.13971,0.8261,1.13653,0.0009307,0.0009307,0.0009307
72,804.978,1.19556,0.88322,1.21375,0.83182,0.69227,0.7737,0.5202,1.16863,0.85724,1.1293,0.00092971,0.00092971,0.00092971
73,815.839,1.1656,0.88544,1.22371,0.8,0.68406,0.75838,0.51967,1.10256,0.86277,1.11893,0.00092872,0.00092872,0.00092872
74,826.767,1.15735,0.85118,1.17698,0.77074,0.69028,0.74939,0.51581,1.09503,0.92769,1.1166,0.00092773,0.00092773,0.00092773
75,837.669,1.12412,0.80699,1.16122,0.80959,0.71842,0.78418,0.5506,1.0402,0.81441,1.09833,0.00092674,0.00092674,0.00092674
76,848.561,1.11727,0.81346,1.1823,0.82484,0.72862,0.79764,0.54343,1.11097,0.8088,1.11265,0.00092575,0.00092575,0.00092575
77,859.498,1.1227,0.8307,1.17289,0.85298,0.71297,0.80545,0.56484,1.04838,0.77421,1.08505,0.00092476,0.00092476,0.00092476
78,870.4,1.20017,0.91835,1.26268,0.82845,0.71787,0.79193,0.53495,1.15455,0.84238,1.11656,0.00092377,0.00092377,0.00092377
79,881.248,1.1361,0.83285,1.16714,0.80628,0.73522,0.79314,0.54494,1.09655,0.8323,1.11084,0.00092278,0.00092278,0.00092278
80,892.113,1.18334,0.85052,1.20215,0.82521,0.70507,0.7897,0.52529,1.18114,0.8522,1.15263,0.00092179,0.00092179,0.00092179
81,903.05,1.14994,0.84034,1.20495,0.87095,0.70456,0.80483,0.54918,1.16264,0.81711,1.13459,0.0009208,0.0009208,0.0009208
82,913.869,1.10877,0.82061,1.16786,0.84919,0.70349,0.80025,0.57191,1.02356,0.8006,1.06993,0.00091981,0.00091981,0.00091981
83,924.782,1.0926,0.82159,1.15617,0.83703,0.69693,0.79142,0.5661,1.02062,0.83882,1.08189,0.00091882,0.00091882,0.00091882
84,935.585,1.15895,0.79848,1.22513,0.83075,0.71629,0.79992,0.55298,1.08306,0.78725,1.11255,0.00091783,0.00091783,0.00091783
85,946.472,1.0769,0.83849,1.16255,0.84807,0.70507,0.79737,0.54849,1.09417,0.80471,1.09466,0.00091684,0.00091684,0.00091684
86,957.403,1.08724,0.77838,1.14741,0.79373,0.72311,0.77985,0.53044,1.14106,0.84057,1.10189,0.00091585,0.00091585,0.00091585
87,968.201,1.10395,0.80368,1.16263,0.86833,0.70405,0.80772,0.57961,1.06264,0.81225,1.07657,0.00091486,0.00091486,0.00091486
88,979.085,1.14823,0.81218,1.21319,0.87214,0.71019,0.80725,0.58399,1.00966,0.78194,1.06064,0.00091387,0.00091387,0.00091387
89,989.94,1.0557,0.81014,1.13602,0.85511,0.72862,0.81273,0.58217,1.02607,0.75662,1.06557,0.00091288,0.00091288,0.00091288
90,1000.85,1.09401,0.77992,1.14845,0.83995,0.72248,0.80868,0.58141,1.00243,0.77509,1.06851,0.00091189,0.00091189,0.00091189
91,1011.69,1.09448,0.78867,1.15797,0.83401,0.71019,0.78856,0.53866,1.12802,0.82189,1.11626,0.0009109,0.0009109,0.0009109
92,1022.69,1.09991,0.77163,1.16608,0.86311,0.71994,0.80988,0.58136,0.99592,0.74145,1.05336,0.00090991,0.00090991,0.00090991
93,1033.65,1.07482,0.78303,1.16448,0.8373,0.70358,0.79667,0.57038,0.99499,0.78933,1.06564,0.00090892,0.00090892,0.00090892
94,1044.61,1.12106,0.80623,1.17635,0.83552,0.69944,0.79085,0.55383,1.0962,0.80133,1.08298,0.00090793,0.00090793,0.00090793
95,1055.53,1.14187,0.81352,1.16435,0.8756,0.68475,0.79371,0.56085,1.05933,0.79218,1.07682,0.00090694,0.00090694,0.00090694
96,1066.43,1.06028,0.79967,1.15908,0.806,0.7148,0.79218,0.55507,1.05651,0.8052,1.07696,0.00090595,0.00090595,0.00090595
97,1077.38,1.07793,0.76653,1.13106,0.83374,0.72862,0.81198,0.58929,0.97986,0.75712,1.05113,0.00090496,0.00090496,0.00090496
98,1088.36,1.08012,0.76956,1.15834,0.83218,0.7084,0.79329,0.57151,1.00081,0.78072,1.06396,0.00090397,0.00090397,0.00090397
99,1099.35,1.11098,0.76945,1.16901,0.8338,0.71413,0.80161,0.57453,0.99435,0.81762,1.06065,0.00090298,0.00090298,0.00090298
100,1110.51,1.04002,0.74605,1.12744,0.8514,0.73016,0.80923,0.57964,1.00173,0.76263,1.05121,0.00090199,0.00090199,0.00090199
101,1121.49,1.09565,0.77722,1.17673,0.86663,0.72197,0.81982,0.58333,0.96482,0.73818,1.04072,0.000901,0.000901,0.000901
102,1132.4,1.11144,0.75943,1.15213,0.83805,0.69278,0.79474,0.56773,0.99324,0.77287,1.05707,0.00090001,0.00090001,0.00090001
103,1143.4,1.09382,0.76372,1.16111,0.84543,0.74775,0.82528,0.60369,0.95911,0.69874,1.0449,0.00089902,0.00089902,0.00089902
104,1154.49,1.08021,0.75622,1.15855,0.84897,0.72817,0.82406,0.58822,1.01236,0.73313,1.05536,0.00089803,0.00089803,0.00089803
105,1165.44,1.15002,0.85053,1.2034,0.82901,0.71992,0.80595,0.58889,0.95711,0.74082,1.04011,0.00089704,0.00089704,0.00089704
106,1176.36,1.07632,0.72287,1.14423,0.84896,0.73387,0.82335,0.59417,1.00551,0.72413,1.05631,0.00089605,0.00089605,0.00089605
107,1187.25,1.12195,0.82547,1.26863,0.86174,0.72709,0.818,0.60069,0.95571,0.72522,1.04681,0.00089506,0.00089506,0.00089506
