epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8776,1.68354,3.04582,1.70489,0.3736,0.30005,0.27266,0.12759,1.98433,3.45113,1.72063,0.0677674,0.000325581,0.000325581
2,42.7186,1.66965,1.66975,1.66874,0.44205,0.41337,0.36877,0.17004,1.87371,2.53538,1.64225,0.0347668,0.000658262,0.000658262
3,62.8781,1.61252,1.55094,1.63823,0.46414,0.43951,0.40862,0.19628,1.72723,2.90002,1.59277,0.00176548,0.000990283,0.000990283
4,82.9284,1.66921,1.55267,1.68645,0.45698,0.44803,0.39575,0.19646,1.81944,3.14212,1.69739,0.00099703,0.00099703,0.00099703
5,102.554,1.6024,1.485,1.66476,0.49242,0.48592,0.44892,0.22256,1.73127,2.39717,1.56087,0.00099604,0.00099604,0.00099604
6,122.162,1.59773,1.46601,1.64222,0.48737,0.55204,0.45617,0.23356,1.67338,2.34426,1.50671,0.00099505,0.00099505,0.00099505
7,141.839,1.56535,1.44455,1.61477,0.58965,0.5233,0.51726,0.25498,1.72004,1.80178,1.4695,0.00099406,0.00099406,0.00099406
8,161.48,1.58742,1.49133,1.62999,0.58944,0.52195,0.53,0.3023,1.51919,2.20256,1.374,0.00099307,0.00099307,0.00099307
9,181.117,1.53233,1.40022,1.5795,0.58915,0.617,0.57057,0.31915,1.49302,1.54058,1.32597,0.00099208,0.00099208,0.00099208
10,200.687,1.52645,1.39522,1.59075,0.60525,0.53507,0.53414,0.30029,1.54228,1.62366,1.38977,0.00099109,0.00099109,0.00099109
11,220.331,1.48765,1.34209,1.57115,0.66426,0.53763,0.59341,0.33214,1.53482,1.37188,1.37192,0.0009901,0.0009901,0.0009901
12,239.944,1.4784,1.33499,1.563,0.66593,0.60424,0.59374,0.31763,1.60259,1.38622,1.38612,0.00098911,0.00098911,0.00098911
13,259.607,1.47577,1.32185,1.56761,0.64633,0.60541,0.63036,0.35585,1.57324,1.39612,1.3514,0.00098812,0.00098812,0.00098812
14,279.26,1.48049,1.33141,1.58096,0.76419,0.56418,0.65695,0.38379,1.50716,1.27599,1.32908,0.00098713,0.00098713,0.00098713
15,298.87,1.46096,1.31204,1.54568,0.71592,0.6042,0.66604,0.37289,1.52851,1.31668,1.32524,0.00098614,0.00098614,0.00098614
16,318.434,1.42739,1.30277,1.5278,0.62616,0.56002,0.57708,0.30723,1.60222,1.38795,1.37039,0.00098515,0.00098515,0.00098515
17,338.015,1.45396,1.2633,1.53413,0.64594,0.63896,0.64043,0.35767,1.52907,1.26647,1.34684,0.00098416,0.00098416,0.00098416
18,357.549,1.42548,1.24636,1.53065,0.63602,0.6263,0.61073,0.33074,1.62187,1.49053,1.36845,0.00098317,0.00098317,0.00098317
19,377.261,1.43142,1.24966,1.50325,0.64476,0.63287,0.64897,0.38668,1.46068,1.2595,1.30474,0.00098218,0.00098218,0.00098218
20,397.151,1.40504,1.21934,1.49345,0.67997,0.58986,0.61055,0.34283,1.59156,1.31122,1.39112,0.00098119,0.00098119,0.00098119
21,416.658,1.41629,1.22117,1.49438,0.74125,0.58167,0.65589,0.38653,1.47089,1.20246,1.29209,0.0009802,0.0009802,0.0009802
22,436.25,1.41219,1.23208,1.49378,0.70858,0.58116,0.64343,0.38881,1.42341,1.27118,1.31321,0.00097921,0.00097921,0.00097921
23,455.876,1.36983,1.22446,1.47132,0.74039,0.62793,0.68219,0.43981,1.29366,1.15664,1.24345,0.00097822,0.00097822,0.00097822
