epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3897,1.75211,3.24859,1.68256,0.41638,0.36303,0.32039,0.13871,2.06606,3.54404,1.72415,0.0677857,0.000325397,0.000325397
2,41.5067,1.63062,1.52158,1.56847,0.47616,0.40655,0.39154,0.19888,1.7372,8.14714,1.56106,0.0347851,0.000658078,0.000658078
3,60.915,1.62276,1.4874,1.54979,0.6025,0.48196,0.51502,0.24072,1.83799,2.33309,1.65566,0.00178375,0.000990099,0.000990099
4,80.449,1.63116,1.47011,1.57365,0.53288,0.47977,0.47202,0.2464,1.71225,2.58253,1.55264,0.00099703,0.00099703,0.00099703
5,102.22,1.58215,1.42102,1.55883,0.4563,0.4849,0.41586,0.21612,1.72174,2.73313,1.62541,0.00099604,0.00099604,0.00099604
6,122.827,1.60986,1.44442,1.56905,0.57531,0.56887,0.54806,0.30639,1.53559,2.20928,1.42954,0.00099505,0.00099505,0.00099505
7,142.552,1.56441,1.43382,1.53345,0.67304,0.54019,0.59102,0.32025,1.60752,1.69493,1.41149,0.00099406,0.00099406,0.00099406
8,161.649,1.53813,1.34935,1.51623,0.68393,0.57501,0.61962,0.33415,1.66053,1.60134,1.42792,0.00099307,0.00099307,0.00099307
9,180.791,1.53444,1.33753,1.51775,0.69791,0.57399,0.62193,0.36225,1.51889,1.30252,1.34978,0.00099208,0.00099208,0.00099208
10,199.816,1.50112,1.30048,1.4915,0.57054,0.51425,0.5051,0.28652,1.63986,1.66787,1.42481,0.00099109,0.00099109,0.00099109
11,218.807,1.47693,1.27841,1.47651,0.72426,0.5617,0.63118,0.35937,1.53553,1.29585,1.35008,0.0009901,0.0009901,0.0009901
12,237.891,1.4772,1.27787,1.45692,0.71381,0.53765,0.61749,0.35457,1.50411,1.33616,1.31787,0.00098911,0.00098911,0.00098911
13,256.892,1.46724,1.25524,1.45052,0.6791,0.52011,0.58214,0.33274,1.54112,1.34639,1.36812,0.00098812,0.00098812,0.00098812
14,275.921,1.47336,1.24007,1.45874,0.72766,0.58321,0.64555,0.38593,1.48543,1.20733,1.32817,0.00098713,0.00098713,0.00098713
15,295.028,1.46567,1.26829,1.45338,0.79367,0.57711,0.67007,0.38746,1.52018,1.22564,1.33818,0.00098614,0.00098614,0.00098614
16,314.005,1.43709,1.24641,1.45042,0.77311,0.56989,0.67119,0.36723,1.57796,1.21025,1.33055,0.00098515,0.00098515,0.00098515
17,332.935,1.42241,1.17236,1.42306,0.73828,0.61854,0.68651,0.41329,1.4395,1.15584,1.27519,0.00098416,0.00098416,0.00098416
18,351.987,1.41048,1.19055,1.41817,0.71137,0.60778,0.6651,0.40116,1.4176,1.24749,1.28972,0.00098317,0.00098317,0.00098317
19,370.989,1.40995,1.1512,1.43222,0.70683,0.61355,0.66424,0.41436,1.36254,1.12433,1.23349,0.00098218,0.00098218,0.00098218
20,390.461,1.39248,1.15763,1.40246,0.79821,0.60625,0.69309,0.40081,1.52133,1.11194,1.29023,0.00098119,0.00098119,0.00098119
