epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4321,1.83164,3.09037,1.75104,0.14709,0.22785,0.10551,0.04836,1.94117,7.0831,1.74358,0.0677674,0.000325581,0.000325581
2,42.7472,1.69542,1.80716,1.63369,0.48037,0.45264,0.42341,0.21879,1.70488,6.14784,1.57399,0.0347668,0.000658262,0.000658262
3,62.9117,1.70746,1.72477,1.66469,0.49508,0.43984,0.41419,0.19743,1.79619,3.2231,1.70867,0.00176548,0.000990283,0.000990283
4,82.7041,1.69287,1.78736,1.65028,0.49066,0.45161,0.44277,0.2389,1.57112,4.01511,1.47664,0.00099703,0.00099703,0.00099703
5,103.046,1.67055,1.69465,1.63168,0.5442,0.50947,0.48664,0.25597,1.6927,2.16569,1.49189,0.00099604,0.00099604,0.00099604
6,123.732,1.67081,1.68529,1.63014,0.49215,0.38505,0.38297,0.20693,1.85429,2.26498,1.66781,0.00099505,0.00099505,0.00099505
7,143.962,1.64349,1.67252,1.60619,0.59882,0.52965,0.54628,0.28845,1.66244,1.93764,1.4707,0.00099406,0.00099406,0.00099406
8,163.611,1.61911,1.62646,1.58414,0.67961,0.58434,0.637,0.34043,1.64253,1.37199,1.3711,0.00099307,0.00099307,0.00099307
9,183.584,1.60299,1.60283,1.57455,0.68427,0.57296,0.62432,0.35629,1.50802,1.45873,1.34477,0.00099208,0.00099208,0.00099208
10,203.343,1.5931,1.55482,1.59714,0.65644,0.57911,0.60615,0.31478,1.64839,1.5054,1.40747,0.00099109,0.00099109,0.00099109
11,222.972,1.57602,1.56275,1.57501,0.66475,0.57872,0.60984,0.3698,1.42627,1.46591,1.30252,0.0009901,0.0009901,0.0009901
12,242.96,1.56037,1.55437,1.55885,0.7075,0.53751,0.61708,0.35392,1.48026,1.61343,1.3277,0.00098911,0.00098911,0.00098911
13,263.169,1.52461,1.48042,1.52319,0.7362,0.55729,0.63637,0.34958,1.60648,1.37369,1.37853,0.00098812,0.00098812,0.00098812
14,283.569,1.51759,1.48789,1.52223,0.65713,0.6554,0.64887,0.38528,1.45949,1.17264,1.31425,0.00098713,0.00098713,0.00098713
15,303.844,1.51239,1.47412,1.51674,0.70364,0.61802,0.658,0.40136,1.40706,1.33034,1.29275,0.00098614,0.00098614,0.00098614
16,324.052,1.50684,1.48603,1.51803,0.68672,0.64363,0.64879,0.37786,1.42677,1.42108,1.29743,0.00098515,0.00098515,0.00098515
17,345.445,1.49131,1.4617,1.52205,0.62879,0.66206,0.62384,0.36135,1.45602,1.38028,1.29367,0.00098416,0.00098416,0.00098416
18,369.636,1.49097,1.44539,1.51682,0.74964,0.624,0.67844,0.40573,1.43583,1.15091,1.29204,0.00098317,0.00098317,0.00098317
19,393.861,1.48594,1.45111,1.52054,0.68263,0.56426,0.61361,0.32895,1.54467,1.33735,1.37264,0.00098218,0.00098218,0.00098218
20,416.621,1.48819,1.44912,1.50499,0.75625,0.64158,0.70782,0.43079,1.38555,1.08199,1.28369,0.00098119,0.00098119,0.00098119
21,438.951,1.46818,1.41802,1.48098,0.77671,0.60737,0.68248,0.42777,1.33118,1.13936,1.2447,0.0009802,0.0009802,0.0009802
22,461.353,1.44147,1.3884,1.47389,0.78088,0.62673,0.71117,0.45577,1.31242,1.05398,1.23746,0.00097921,0.00097921,0.00097921
23,483.684,1.46304,1.38857,1.49273,0.73653,0.62552,0.69403,0.441,1.34156,1.27503,1.28174,0.00097822,0.00097822,0.00097822
24,506.016,1.45331,1.38664,1.49875,0.76579,0.64959,0.69682,0.39745,1.53132,1.11477,1.32423,0.00097723,0.00097723,0.00097723
25,528.538,1.46416,1.40167,1.49213,0.80154,0.58316,0.70406,0.44972,1.29702,1.07519,1.22414,0.00097624,0.00097624,0.00097624
26,551.337,1.43433,1.36742,1.46113,0.76289,0.66061,0.71294,0.46163,1.28239,1.04321,1.21923,0.00097525,0.00097525,0.00097525
27,573.598,1.41719,1.34172,1.46604,0.77455,0.66103,0.71848,0.45061,1.36134,1.08937,1.24784,0.00097426,0.00097426,0.00097426
28,596.098,1.43905,1.3419,1.46654,0.70408,0.65796,0.69102,0.45336,1.26786,1.08839,1.21043,0.00097327,0.00097327,0.00097327
29,618.442,1.42302,1.35316,1.46853,0.68053,0.66564,0.69129,0.41935,1.31597,1.12573,1.23858,0.00097228,0.00097228,0.00097228
30,640.688,1.39173,1.33652,1.45563,0.73952,0.6764,0.72463,0.44402,1.31215,1.00147,1.19971,0.00097129,0.00097129,0.00097129
31,663.003,1.42693,1.36397,1.46716,0.77104,0.65745,0.71408,0.44438,1.3476,1.01766,1.23989,0.0009703,0.0009703,0.0009703
32,685.371,1.39286,1.30512,1.43531,0.80211,0.64823,0.7264,0.46305,1.3427,0.99593,1.22859,0.00096931,0.00096931,0.00096931
33,707.777,1.38526,1.2908,1.4353,0.81664,0.64765,0.74413,0.45771,1.37588,1.01276,1.24695,0.00096832,0.00096832,0.00096832
34,731.419,1.38728,1.2852,1.45886,0.82095,0.65694,0.74376,0.47584,1.30499,0.97844,1.21668,0.00096733,0.00096733,0.00096733
35,755.121,1.39226,1.2709,1.43586,0.77178,0.66838,0.72076,0.44959,1.37306,1.03392,1.21509,0.00096634,0.00096634,0.00096634
36,777.106,1.39406,1.29148,1.43831,0.78982,0.65613,0.71937,0.46635,1.29357,1.01907,1.21856,0.00096535,0.00096535,0.00096535
37,799.095,1.38452,1.31768,1.43637,0.75222,0.68408,0.73414,0.45647,1.28978,1.01811,1.21164,0.00096436,0.00096436,0.00096436
38,821.018,1.36661,1.27397,1.42819,0.80449,0.69319,0.74912,0.49381,1.25919,0.94134,1.19536,0.00096337,0.00096337,0.00096337
39,843.412,1.38291,1.29939,1.44043,0.87643,0.6385,0.75331,0.49239,1.2826,0.96639,1.20052,0.00096238,0.00096238,0.00096238
40,865.475,1.37861,1.26808,1.43708,0.83046,0.66871,0.74994,0.4938,1.2063,0.99113,1.17835,0.00096139,0.00096139,0.00096139
41,887.407,1.35456,1.28156,1.4246,0.72865,0.69739,0.73386,0.46419,1.29954,1.03978,1.20834,0.0009604,0.0009604,0.0009604
