epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4652,1.69965,2.70618,1.64215,0.3898,0.34716,0.29162,0.12398,2.03011,5.45909,1.8258,0.0677021,0.000326241,0.000326241
2,46.3847,1.6197,1.52117,1.60645,0.3876,0.47671,0.33552,0.16337,1.69199,3.21662,1.53945,0.0347015,0.000658921,0.000658921
3,67.7801,1.62414,1.50085,1.60979,0.32948,0.33641,0.23931,0.11955,2.02608,7.17752,1.9479,0.00170016,0.000990942,0.000990942
4,88.8349,1.63418,1.51458,1.62699,0.55225,0.49576,0.49762,0.26823,1.63905,2.39073,1.51589,0.00099703,0.00099703,0.00099703
5,109.966,1.59016,1.43563,1.60678,0.50661,0.47422,0.44167,0.20852,1.85049,2.31608,1.61672,0.00099604,0.00099604,0.00099604
6,131.053,1.57296,1.43479,1.56685,0.53036,0.54642,0.51589,0.26902,1.65821,2.29149,1.4601,0.00099505,0.00099505,0.00099505
7,152.269,1.54886,1.40628,1.55807,0.52955,0.50179,0.46031,0.23971,1.66275,2.76488,1.46645,0.00099406,0.00099406,0.00099406
8,173.196,1.54719,1.36632,1.57649,0.57236,0.51562,0.50776,0.26109,1.75191,1.55217,1.52873,0.00099307,0.00099307,0.00099307
9,194.164,1.53753,1.36168,1.55809,0.65609,0.5226,0.56371,0.29171,1.679,1.40295,1.41398,0.00099208,0.00099208,0.00099208
10,215.201,1.50632,1.30669,1.53258,0.64973,0.60471,0.61318,0.36278,1.48523,1.31847,1.32014,0.00099109,0.00099109,0.00099109
11,236.165,1.46816,1.25265,1.50897,0.66492,0.58525,0.61268,0.33888,1.56526,1.34214,1.36603,0.0009901,0.0009901,0.0009901
12,257.158,1.48152,1.28713,1.52463,0.63548,0.58065,0.58211,0.32294,1.51457,1.57773,1.35893,0.00098911,0.00098911,0.00098911
13,278.269,1.46746,1.2561,1.50007,0.56654,0.63748,0.58663,0.31349,1.59847,1.33959,1.37075,0.00098812,0.00098812,0.00098812
14,299.154,1.43977,1.21011,1.491,0.72643,0.61495,0.64899,0.38092,1.50133,1.37207,1.32138,0.00098713,0.00098713,0.00098713
15,320.096,1.46893,1.22445,1.49704,0.63587,0.62929,0.61933,0.34687,1.573,1.23143,1.36776,0.00098614,0.00098614,0.00098614
16,341.236,1.43638,1.2179,1.47026,0.738,0.59396,0.68544,0.39893,1.46309,1.12144,1.2645,0.00098515,0.00098515,0.00098515
17,362.305,1.41144,1.18904,1.46816,0.65763,0.61905,0.61418,0.36485,1.42858,1.18532,1.26134,0.00098416,0.00098416,0.00098416
18,383.232,1.38355,1.16725,1.46443,0.7911,0.64414,0.72239,0.44238,1.35248,1.09073,1.22716,0.00098317,0.00098317,0.00098317
19,405.811,1.37991,1.163,1.43709,0.72641,0.63082,0.65769,0.38828,1.43511,1.29877,1.26431,0.00098218,0.00098218,0.00098218
20,429.081,1.38554,1.14109,1.44549,0.7534,0.6595,0.67687,0.3804,1.48986,1.18918,1.31271,0.00098119,0.00098119,0.00098119
21,452.635,1.3674,1.14431,1.43084,0.74628,0.62878,0.68943,0.44179,1.29326,1.03206,1.22493,0.0009802,0.0009802,0.0009802
22,474.797,1.369,1.13351,1.43329,0.65193,0.64977,0.63679,0.397,1.35248,1.24164,1.27415,0.00097921,0.00097921,0.00097921
23,496.098,1.3527,1.11394,1.42077,0.73907,0.63697,0.67383,0.40167,1.3695,1.13396,1.24222,0.00097822,0.00097822,0.00097822
24,518.437,1.35623,1.13064,1.41661,0.66524,0.63287,0.66637,0.42446,1.32224,1.13645,1.22223,0.00097723,0.00097723,0.00097723
25,540.057,1.34232,1.10785,1.40661,0.77886,0.63748,0.70384,0.4338,1.3936,1.06542,1.25289,0.00097624,0.00097624,0.00097624
26,560.841,1.33299,1.07035,1.41428,0.77993,0.63543,0.70138,0.4488,1.30389,1.04947,1.20155,0.00097525,0.00097525,0.00097525
27,581.832,1.35785,1.08569,1.42413,0.74291,0.67767,0.71549,0.45847,1.26516,1.06052,1.19552,0.00097426,0.00097426,0.00097426
28,602.852,1.31784,1.04694,1.38353,0.80863,0.65694,0.7215,0.46038,1.31899,1.03561,1.22344,0.00097327,0.00097327,0.00097327
29,623.876,1.33052,1.07829,1.39752,0.75019,0.66769,0.71761,0.45976,1.26496,1.01052,1.1896,0.00097228,0.00097228,0.00097228
30,644.783,1.32941,1.07065,1.4007,0.74425,0.64875,0.69497,0.43779,1.33573,1.06774,1.19055,0.00097129,0.00097129,0.00097129
31,665.72,1.29898,1.0508,1.37413,0.70917,0.66052,0.67479,0.41263,1.34099,1.10703,1.21198,0.0009703,0.0009703,0.0009703
32,686.557,1.30848,1.05418,1.39536,0.81349,0.64823,0.72946,0.46832,1.2846,0.994,1.20945,0.00096931,0.00096931,0.00096931
33,707.477,1.30133,1.02603,1.38205,0.74005,0.64311,0.68582,0.46045,1.2362,1.04014,1.17467,0.00096832,0.00096832,0.00096832
34,728.362,1.27749,1.03814,1.36593,0.7819,0.6682,0.71627,0.46051,1.3077,0.99271,1.18544,0.00096733,0.00096733,0.00096733
35,749.275,1.26398,1.006,1.36677,0.82201,0.67947,0.73286,0.48164,1.23667,0.97065,1.17074,0.00096634,0.00096634,0.00096634
36,770.151,1.29242,1.02073,1.38185,0.84674,0.66482,0.76169,0.49434,1.24531,0.93357,1.16505,0.00096535,0.00096535,0.00096535
37,791.316,1.29333,1.01777,1.38286,0.81671,0.66359,0.74526,0.4867,1.23435,0.95406,1.17165,0.00096436,0.00096436,0.00096436
38,812.977,1.27625,1.01113,1.35413,0.73983,0.6979,0.72087,0.45656,1.29502,1.02208,1.18685,0.00096337,0.00096337,0.00096337
39,834.611,1.25999,1.00105,1.37357,0.7629,0.60625,0.67541,0.4112,1.43409,1.11206,1.25724,0.00096238,0.00096238,0.00096238
40,856.357,1.256,1.00616,1.34802,0.72994,0.67793,0.71787,0.48481,1.19202,1.03288,1.17075,0.00096139,0.00096139,0.00096139
41,878.021,1.22291,0.98086,1.32859,0.83131,0.65438,0.75373,0.48718,1.26355,0.94691,1.17995,0.0009604,0.0009604,0.0009604
42,899.697,1.2424,1.00103,1.34422,0.80922,0.67998,0.75191,0.48828,1.26326,0.95821,1.18297,0.00095941,0.00095941,0.00095941
