epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3756,0.72976,0.46954,0.96615,0.86869,0.66001,0.74603,0.54749,1.00581,0.81439,1.06716,0.081019,1.9e-05,1.9e-05
2,23.687,0.67332,0.43218,0.95087,0.89142,0.69585,0.81052,0.6187,0.9025,0.81147,0.99643,0.0610389,3.89228e-05,3.89228e-05
3,34.9198,0.71341,0.43499,0.98716,0.90704,0.73169,0.83679,0.65417,0.8436,0.67053,0.97908,0.0410588,5.87664e-05,5.87664e-05
4,45.7057,0.62177,0.40234,0.92919,0.89505,0.75111,0.84266,0.66343,0.812,0.62288,0.964,0.0210785,7.85307e-05,7.85307e-05
5,56.7791,0.58919,0.40003,0.91332,0.91199,0.75339,0.84801,0.67329,0.80619,0.602,0.96407,0.00109822,9.82159e-05,9.82159e-05
6,67.8449,0.59983,0.39097,0.91838,0.91682,0.75218,0.85113,0.67581,0.79821,0.58567,0.9568,9.901e-05,9.901e-05,9.901e-05
7,78.934,0.60761,0.38925,0.92737,0.92159,0.74501,0.85085,0.67628,0.78754,0.5754,0.94761,9.8812e-05,9.8812e-05,9.8812e-05
8,90.1976,0.6065,0.39457,0.92177,0.91528,0.75218,0.85022,0.67556,0.7896,0.57269,0.94694,9.8614e-05,9.8614e-05,9.8614e-05
9,101.294,0.58542,0.39047,0.93025,0.92664,0.74398,0.85019,0.67619,0.78221,0.57386,0.94538,9.8416e-05,9.8416e-05,9.8416e-05
10,112.405,0.59417,0.37587,0.91854,0.91733,0.7491,0.85044,0.67487,0.78375,0.5684,0.94674,9.8218e-05,9.8218e-05,9.8218e-05
11,123.12,0.58649,0.4125,0.91302,0.9128,0.75371,0.84964,0.67476,0.78458,0.56613,0.94837,9.802e-05,9.802e-05,9.802e-05
12,133.811,0.58207,0.36635,0.91129,0.92103,0.75248,0.85002,0.67519,0.79196,0.56812,0.94968,9.7822e-05,9.7822e-05,9.7822e-05
13,144.594,0.60494,0.3835,0.92792,0.92461,0.7532,0.84913,0.67616,0.7893,0.57071,0.94905,9.7624e-05,9.7624e-05,9.7624e-05
14,155.421,0.576,0.37963,0.91313,0.93088,0.74757,0.84974,0.67307,0.79465,0.56745,0.9485,9.7426e-05,9.7426e-05,9.7426e-05
15,166.2,0.58335,0.37192,0.91506,0.92427,0.74859,0.85041,0.67645,0.78318,0.56194,0.94874,9.7228e-05,9.7228e-05,9.7228e-05
16,177.019,0.59793,0.39775,0.9281,0.92812,0.74706,0.84898,0.67622,0.78423,0.56475,0.94553,9.703e-05,9.703e-05,9.703e-05
17,187.806,0.59983,0.37823,0.90477,0.92107,0.75285,0.84921,0.6757,0.78703,0.55934,0.94707,9.6832e-05,9.6832e-05,9.6832e-05
18,198.72,0.5917,0.38118,0.92978,0.91965,0.75832,0.84968,0.67435,0.79071,0.56149,0.94822,9.6634e-05,9.6634e-05,9.6634e-05
19,209.478,0.59489,0.38408,0.92318,0.92403,0.75371,0.84907,0.67431,0.79382,0.56386,0.94898,9.6436e-05,9.6436e-05,9.6436e-05
20,220.223,0.57897,0.37504,0.91855,0.91436,0.75986,0.84908,0.67246,0.79326,0.56321,0.94815,9.6238e-05,9.6238e-05,9.6238e-05
21,231.043,0.61392,0.40298,0.932,0.92336,0.75166,0.84761,0.6719,0.78708,0.56141,0.94614,9.604e-05,9.604e-05,9.604e-05
22,241.898,0.61694,0.37792,0.9209,0.92174,0.75422,0.84767,0.67433,0.78023,0.56566,0.94261,9.5842e-05,9.5842e-05,9.5842e-05
23,252.8,0.58909,0.36998,0.91312,0.91554,0.75269,0.84482,0.66957,0.79019,0.57219,0.94569,9.5644e-05,9.5644e-05,9.5644e-05
24,263.51,0.6085,0.38894,0.92647,0.91711,0.7478,0.84321,0.66988,0.789,0.5716,0.94696,9.5446e-05,9.5446e-05,9.5446e-05
25,274.256,0.58416,0.37262,0.91773,0.91681,0.75064,0.84603,0.67372,0.78026,0.56667,0.946,9.5248e-05,9.5248e-05,9.5248e-05
26,285.006,0.56453,0.36978,0.91165,0.9238,0.74496,0.84649,0.67486,0.78019,0.56611,0.94687,9.505e-05,9.505e-05,9.505e-05
27,295.826,0.57069,0.35906,0.90825,0.91678,0.75022,0.84742,0.67807,0.77805,0.56828,0.94617,9.4852e-05,9.4852e-05,9.4852e-05
28,306.601,0.56411,0.3619,0.9078,0.92315,0.74808,0.84825,0.67521,0.78551,0.57315,0.94758,9.4654e-05,9.4654e-05,9.4654e-05
29,317.372,0.59345,0.3778,0.92514,0.91618,0.75576,0.84714,0.67393,0.78649,0.57336,0.94662,9.4456e-05,9.4456e-05,9.4456e-05
30,328.092,0.58189,0.37582,0.9101,0.9036,0.76311,0.84746,0.67331,0.78474,0.5694,0.94457,9.4258e-05,9.4258e-05,9.4258e-05
31,338.793,0.58003,0.38177,0.92426,0.90456,0.76242,0.84771,0.67293,0.78109,0.55945,0.94384,9.406e-05,9.406e-05,9.406e-05
32,349.7,0.55555,0.35866,0.90247,0.91722,0.75474,0.84652,0.67256,0.78078,0.55822,0.9438,9.3862e-05,9.3862e-05,9.3862e-05
33,360.424,0.55859,0.36489,0.90853,0.91073,0.75832,0.84646,0.67229,0.78569,0.56718,0.94436,9.3664e-05,9.3664e-05,9.3664e-05
34,371.154,0.61364,0.37567,0.95139,0.91485,0.75363,0.84668,0.67394,0.78501,0.57083,0.94484,9.3466e-05,9.3466e-05,9.3466e-05
35,381.949,0.5536,0.36192,0.90216,0.91827,0.75115,0.84706,0.67314,0.78428,0.57238,0.94418,9.3268e-05,9.3268e-05,9.3268e-05
36,392.856,0.58784,0.36417,0.91357,0.91384,0.75781,0.84755,0.67176,0.79329,0.57085,0.94807,9.307e-05,9.307e-05,9.307e-05
37,403.524,0.57636,0.37009,0.92038,0.9157,0.75638,0.84664,0.67256,0.78374,0.56617,0.94905,9.2872e-05,9.2872e-05,9.2872e-05
38,414.315,0.58045,0.36246,0.90954,0.91571,0.76242,0.84852,0.67439,0.78435,0.57061,0.94531,9.2674e-05,9.2674e-05,9.2674e-05
39,425.004,0.56925,0.36803,0.9112,0.91317,0.75923,0.8462,0.67488,0.77845,0.56928,0.94553,9.2476e-05,9.2476e-05,9.2476e-05
40,435.778,0.56381,0.36278,0.90717,0.91343,0.76088,0.84591,0.67358,0.78677,0.57272,0.94723,9.2278e-05,9.2278e-05,9.2278e-05
41,446.589,0.5741,0.37265,0.9098,0.91904,0.7573,0.84652,0.67377,0.7845,0.57034,0.94586,9.208e-05,9.208e-05,9.208e-05
42,457.427,0.62294,0.38426,0.95235,0.92266,0.75742,0.84795,0.6751,0.78576,0.56544,0.94621,9.1882e-05,9.1882e-05,9.1882e-05
43,468.237,0.55302,0.35372,0.90296,0.92487,0.75474,0.84725,0.67303,0.79254,0.56649,0.94676,9.1684e-05,9.1684e-05,9.1684e-05
44,478.973,0.57623,0.37083,0.90984,0.92253,0.75166,0.84719,0.67596,0.78338,0.56779,0.94746,9.1486e-05,9.1486e-05,9.1486e-05
45,489.772,0.57289,0.35821,0.912,0.91535,0.75301,0.84516,0.67179,0.78785,0.57325,0.94636,9.1288e-05,9.1288e-05,9.1288e-05
46,500.626,0.57923,0.36884,0.91399,0.90691,0.7573,0.8476,0.67486,0.78377,0.56436,0.94509,9.109e-05,9.109e-05,9.109e-05
47,511.327,0.58895,0.37689,0.91615,0.91849,0.74962,0.84665,0.67106,0.79298,0.56919,0.94622,9.0892e-05,9.0892e-05,9.0892e-05
48,522.063,0.57704,0.38756,0.92236,0.91619,0.7491,0.84485,0.66986,0.78992,0.56827,0.94534,9.0694e-05,9.0694e-05,9.0694e-05
49,532.831,0.55027,0.3549,0.90062,0.91384,0.75269,0.84599,0.67478,0.77993,0.56121,0.94297,9.0496e-05,9.0496e-05,9.0496e-05
50,543.629,0.59045,0.3601,0.91926,0.91707,0.7532,0.8455,0.67358,0.7861,0.5619,0.94373,9.0298e-05,9.0298e-05,9.0298e-05
51,554.412,0.55943,0.36429,0.90942,0.91401,0.75371,0.84637,0.67229,0.78731,0.56879,0.94737,9.01e-05,9.01e-05,9.01e-05
52,565.151,0.58432,0.36898,0.90632,0.91835,0.7491,0.8479,0.67206,0.78806,0.56683,0.94762,8.9902e-05,8.9902e-05,8.9902e-05
53,575.884,0.60172,0.37259,0.94721,0.92307,0.74954,0.8469,0.67102,0.78675,0.56257,0.94654,8.9704e-05,8.9704e-05,8.9704e-05
54,586.608,0.60623,0.37644,0.95219,0.92027,0.75064,0.84571,0.66977,0.7902,0.56553,0.94774,8.9506e-05,8.9506e-05,8.9506e-05
55,597.323,0.59667,0.36654,0.91335,0.92267,0.74535,0.8465,0.67107,0.79228,0.5649,0.94828,8.9308e-05,8.9308e-05,8.9308e-05
56,607.97,0.55599,0.34753,0.8973,0.91584,0.75422,0.84732,0.66841,0.79651,0.56366,0.94771,8.911e-05,8.911e-05,8.911e-05
57,618.712,0.55584,0.36562,0.90802,0.91906,0.75474,0.84746,0.67116,0.79173,0.56181,0.94526,8.8912e-05,8.8912e-05,8.8912e-05
58,629.409,0.53113,0.339,0.893,0.91589,0.75269,0.84584,0.66935,0.79243,0.56053,0.94632,8.8714e-05,8.8714e-05,8.8714e-05
59,640.251,0.56029,0.36362,0.89372,0.90114,0.76074,0.84697,0.67,0.79184,0.5581,0.94544,8.8516e-05,8.8516e-05,8.8516e-05
60,651.154,0.58123,0.39164,0.91389,0.90971,0.75316,0.84551,0.66707,0.79151,0.55436,0.94715,8.8318e-05,8.8318e-05,8.8318e-05
61,662.002,0.57486,0.40389,0.90811,0.90978,0.75389,0.84439,0.66958,0.78349,0.55456,0.94646,8.812e-05,8.812e-05,8.812e-05
62,672.816,0.58477,0.36262,0.94175,0.90746,0.75576,0.84554,0.67015,0.78888,0.56063,0.94952,8.7922e-05,8.7922e-05,8.7922e-05
63,683.545,0.57297,0.35928,0.91098,0.91422,0.75304,0.84408,0.67133,0.78118,0.55696,0.94801,8.7724e-05,8.7724e-05,8.7724e-05
64,694.367,0.56684,0.36648,0.91922,0.91736,0.75028,0.84543,0.6702,0.78534,0.55754,0.94702,8.7526e-05,8.7526e-05,8.7526e-05
65,705.191,0.57522,0.38058,0.92277,0.92418,0.74808,0.84707,0.67238,0.78521,0.5613,0.94455,8.7328e-05,8.7328e-05,8.7328e-05
66,715.972,0.58138,0.36154,0.92267,0.90489,0.75269,0.84568,0.66982,0.79134,0.56891,0.94597,8.713e-05,8.713e-05,8.713e-05
67,726.68,0.54947,0.36023,0.90783,0.9057,0.75735,0.84789,0.67084,0.78985,0.56864,0.94786,8.6932e-05,8.6932e-05,8.6932e-05
68,737.441,0.58366,0.36901,0.9064,0.90801,0.75986,0.84657,0.67249,0.78192,0.56163,0.94418,8.6734e-05,8.6734e-05,8.6734e-05
69,748.267,0.56512,0.36106,0.91582,0.92011,0.75485,0.84862,0.67364,0.78488,0.56059,0.94391,8.6536e-05,8.6536e-05,8.6536e-05
70,759.047,0.5959,0.37766,0.92256,0.91798,0.75071,0.84826,0.67381,0.79069,0.55873,0.9447,8.6338e-05,8.6338e-05,8.6338e-05
71,769.845,0.56085,0.35952,0.92243,0.91828,0.75378,0.8494,0.67695,0.78808,0.55836,0.94592,8.614e-05,8.614e-05,8.614e-05
72,780.576,0.57161,0.36787,0.91508,0.9232,0.75091,0.84931,0.67412,0.79387,0.56965,0.94757,8.5942e-05,8.5942e-05,8.5942e-05
73,791.393,0.56898,0.37021,0.91658,0.92055,0.74752,0.84674,0.67338,0.79109,0.57104,0.94818,8.5744e-05,8.5744e-05,8.5744e-05
74,802.24,0.56415,0.36272,0.90518,0.92006,0.74845,0.84465,0.67214,0.79134,0.56549,0.94892,8.5546e-05,8.5546e-05,8.5546e-05
75,812.986,0.54584,0.34435,0.89371,0.90938,0.75537,0.84493,0.67255,0.78822,0.55915,0.94864,8.5348e-05,8.5348e-05,8.5348e-05
76,823.741,0.55237,0.35418,0.90705,0.9169,0.75064,0.84641,0.67333,0.78738,0.56369,0.94619,8.515e-05,8.515e-05,8.515e-05
77,834.541,0.59576,0.3655,0.92845,0.9209,0.74654,0.84583,0.67375,0.78643,0.56905,0.94576,8.4952e-05,8.4952e-05,8.4952e-05
78,845.346,0.61763,0.40958,0.95223,0.92187,0.74296,0.84803,0.67755,0.7837,0.57084,0.94528,8.4754e-05,8.4754e-05,8.4754e-05
79,856.16,0.57014,0.38583,0.90738,0.92016,0.74355,0.84538,0.67482,0.78537,0.56802,0.94568,8.4556e-05,8.4556e-05,8.4556e-05
80,866.887,0.57055,0.35821,0.90955,0.91135,0.75269,0.84425,0.67121,0.78717,0.5633,0.94478,8.4358e-05,8.4358e-05,8.4358e-05
81,877.702,0.56215,0.36753,0.92003,0.9078,0.75678,0.84502,0.67249,0.78615,0.55718,0.94504,8.416e-05,8.416e-05,8.416e-05
82,888.508,0.56048,0.36358,0.90857,0.91136,0.75781,0.84757,0.67334,0.78957,0.55757,0.94624,8.3962e-05,8.3962e-05,8.3962e-05
83,899.249,0.55582,0.34956,0.90494,0.914,0.75422,0.84753,0.67452,0.7867,0.56348,0.94525,8.3764e-05,8.3764e-05,8.3764e-05
84,909.999,0.58452,0.35268,0.93622,0.91114,0.7573,0.8462,0.67293,0.78382,0.5601,0.94482,8.3566e-05,8.3566e-05,8.3566e-05
85,920.845,0.60022,0.44001,1.0256,0.91547,0.75678,0.84789,0.67471,0.78886,0.56265,0.94501,8.3368e-05,8.3368e-05,8.3368e-05
