epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4944,1.80312,2.66064,1.59558,0.4159,0.33692,0.30375,0.12371,2.07416,3.7071,1.81069,0.06775,0.000325758,0.000325758
2,44.5649,1.65771,1.60345,1.50964,0.4132,0.4186,0.36077,0.15713,1.88106,2.99549,1.6712,0.0347493,0.000658438,0.000658438
3,65.6639,1.65586,1.55645,1.50153,0.53316,0.47875,0.4707,0.21898,1.83383,3.98673,1.66094,0.00174803,0.000990459,0.000990459
4,86.0249,1.6541,1.53053,1.52895,0.4981,0.49291,0.45711,0.22286,1.70125,3.36833,1.55132,0.00099703,0.00099703,0.00099703
5,106.24,1.63853,1.5268,1.52344,0.56944,0.48961,0.50641,0.25528,1.73927,2.46577,1.61823,0.00099604,0.00099604,0.00099604
6,126.369,1.60307,1.50647,1.5098,0.62143,0.49718,0.55521,0.28169,1.64427,1.93278,1.44596,0.00099505,0.00099505,0.00099505
7,146.507,1.57597,1.41784,1.47061,0.56845,0.5443,0.53356,0.28172,1.65235,1.74418,1.452,0.00099406,0.00099406,0.00099406
8,166.579,1.56597,1.42126,1.4683,0.5203,0.5704,0.50548,0.25601,1.64813,1.96088,1.43818,0.00099307,0.00099307,0.00099307
9,186.706,1.56084,1.40016,1.46293,0.63454,0.60277,0.61112,0.35747,1.46571,1.51519,1.3377,0.00099208,0.00099208,0.00099208
10,206.867,1.53308,1.40145,1.46774,0.62293,0.63527,0.62723,0.34578,1.50003,1.36818,1.32721,0.00099109,0.00099109,0.00099109
11,226.77,1.50595,1.33133,1.43977,0.71405,0.58423,0.63822,0.34618,1.67395,1.29046,1.39135,0.0009901,0.0009901,0.0009901
12,246.81,1.53984,1.33505,1.44434,0.69901,0.59549,0.64891,0.37427,1.53721,1.38689,1.31361,0.00098911,0.00098911,0.00098911
13,266.92,1.47963,1.31282,1.42032,0.66777,0.58423,0.63541,0.34119,1.58229,1.32893,1.34609,0.00098812,0.00098812,0.00098812
