epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0911,1.70882,3.11794,1.59841,0.40694,0.39939,0.32733,0.13649,1.98179,2.96632,1.67862,0.0677674,0.000325581,0.000325581
2,42.3033,1.63806,1.58202,1.52319,0.41988,0.4651,0.38725,0.16965,1.86233,2.22836,1.63002,0.0347668,0.000658262,0.000658262
3,63.3361,1.59532,1.42359,1.50805,0.49321,0.46392,0.43089,0.20933,1.78193,2.22531,1.69915,0.00176548,0.000990283,0.000990283
4,83.0984,1.62309,1.46914,1.55272,0.39039,0.42448,0.32496,0.15626,1.68353,4.40943,1.54354,0.00099703,0.00099703,0.00099703
5,102.943,1.60912,1.44579,1.52802,0.55967,0.50308,0.4839,0.24676,1.63415,2.59436,1.45614,0.00099604,0.00099604,0.00099604
6,122.518,1.56143,1.40008,1.50385,0.55083,0.53149,0.4858,0.24099,1.70593,2.08318,1.4544,0.00099505,0.00099505,0.00099505
7,142.051,1.57095,1.40916,1.49589,0.54564,0.5448,0.51956,0.23812,1.87634,1.86463,1.54516,0.00099406,0.00099406,0.00099406
8,161.489,1.54512,1.35865,1.47412,0.65707,0.57501,0.60775,0.3085,1.65957,1.415,1.37498,0.00099307,0.00099307,0.00099307
9,181.143,1.52976,1.35361,1.47972,0.65758,0.58679,0.59952,0.3457,1.54136,1.35063,1.34656,0.00099208,0.00099208,0.00099208
10,203.71,1.49044,1.28178,1.44197,0.607,0.57501,0.55535,0.27669,1.70556,1.60949,1.40191,0.00099109,0.00099109,0.00099109
11,224.574,1.4985,1.28012,1.44442,0.58488,0.62826,0.55062,0.30153,1.48492,1.79598,1.30663,0.0009901,0.0009901,0.0009901
12,246.107,1.4689,1.2258,1.43296,0.69538,0.56222,0.61316,0.37292,1.36927,1.32468,1.27404,0.00098911,0.00098911,0.00098911
13,270.206,1.46306,1.26011,1.44097,0.71333,0.57911,0.61847,0.33894,1.56249,1.33363,1.35817,0.00098812,0.00098812,0.00098812
