epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9208,1.7736,2.77708,1.62092,0.32198,0.43216,0.30497,0.11054,2.03904,7.96592,1.7485,0.06775,0.000325758,0.000325758
2,42.5545,1.63256,1.52794,1.50805,0.57274,0.53194,0.53066,0.28936,1.49097,2.90039,1.35702,0.0347493,0.000658438,0.000658438
3,62.8486,1.58998,1.44888,1.4736,0.59257,0.53692,0.56073,0.32751,1.51781,2.50787,1.44758,0.00174803,0.000990459,0.000990459
4,83.1609,1.59152,1.47919,1.48744,0.42686,0.39273,0.37009,0.20502,1.66254,5.17718,1.51481,0.00099703,0.00099703,0.00099703
5,103.111,1.56235,1.40857,1.46335,0.64843,0.55812,0.60714,0.35962,1.49508,1.5677,1.3899,0.00099604,0.00099604,0.00099604
6,123.251,1.53181,1.36987,1.45152,0.64438,0.56426,0.60753,0.31717,1.59311,1.7211,1.38225,0.00099505,0.00099505,0.00099505
7,143.292,1.51263,1.34584,1.43131,0.61566,0.59805,0.60384,0.33079,1.57058,1.64193,1.3755,0.00099406,0.00099406,0.00099406
8,163.325,1.51786,1.34011,1.43939,0.6649,0.58825,0.61469,0.35054,1.52841,1.53257,1.39335,0.00099307,0.00099307,0.00099307
9,183.231,1.48548,1.32826,1.41165,0.74832,0.53405,0.62769,0.34503,1.64356,1.37028,1.38394,0.00099208,0.00099208,0.00099208
10,203.314,1.44511,1.269,1.39546,0.70778,0.61598,0.66157,0.36951,1.55535,1.29263,1.34596,0.00099109,0.00099109,0.00099109
11,223.236,1.4409,1.25884,1.39828,0.67419,0.61495,0.63315,0.37956,1.44383,1.59781,1.31575,0.0009901,0.0009901,0.0009901
12,243.169,1.43905,1.24299,1.38677,0.72027,0.63441,0.65475,0.39166,1.4387,1.26143,1.31014,0.00098911,0.00098911,0.00098911
13,263.054,1.39737,1.18891,1.36618,0.7703,0.62058,0.69208,0.40817,1.51264,1.14288,1.3353,0.00098812,0.00098812,0.00098812
14,282.978,1.41399,1.19204,1.37605,0.76621,0.64516,0.70749,0.45523,1.30845,1.05982,1.2393,0.00098713,0.00098713,0.00098713
15,303.03,1.38624,1.19723,1.36369,0.76061,0.65028,0.71109,0.44452,1.32979,1.08089,1.26509,0.00098614,0.00098614,0.00098614
16,323.167,1.37174,1.16185,1.35854,0.70125,0.65624,0.68885,0.40771,1.3723,1.18826,1.24689,0.00098515,0.00098515,0.00098515
17,343.182,1.336,1.1532,1.32505,0.79048,0.61546,0.69876,0.39237,1.57544,1.15208,1.3357,0.00098416,0.00098416,0.00098416
18,363.033,1.31724,1.1308,1.32507,0.76688,0.65387,0.72139,0.4596,1.29143,1.03714,1.19601,0.00098317,0.00098317,0.00098317
19,382.82,1.31327,1.11755,1.31776,0.74679,0.617,0.68297,0.42918,1.32059,1.20055,1.22253,0.00098218,0.00098218,0.00098218
20,402.699,1.28552,1.0972,1.29727,0.79683,0.67076,0.73546,0.46915,1.30044,1.00606,1.23888,0.00098119,0.00098119,0.00098119
21,422.539,1.27723,1.07956,1.29624,0.74749,0.64115,0.6962,0.4189,1.37385,1.13893,1.25176,0.0009802,0.0009802,0.0009802
22,442.409,1.27913,1.09313,1.29208,0.78817,0.67332,0.7386,0.48156,1.23525,0.94646,1.16485,0.00097921,0.00097921,0.00097921
23,462.537,1.24334,1.05644,1.26298,0.77228,0.64055,0.71116,0.45253,1.30445,1.04485,1.21254,0.00097822,0.00097822,0.00097822
24,482.393,1.2622,1.07295,1.28459,0.81762,0.64045,0.73651,0.49343,1.18716,0.95418,1.18188,0.00097723,0.00097723,0.00097723
25,502.349,1.26031,1.05329,1.29206,0.80056,0.68049,0.75676,0.49588,1.21025,0.93814,1.16077,0.00097624,0.00097624,0.00097624
26,522.45,1.23785,1.0268,1.27029,0.82937,0.65847,0.75453,0.48313,1.30171,0.93931,1.21779,0.00097525,0.00097525,0.00097525
27,542.354,1.22494,1.02569,1.27185,0.77625,0.64823,0.72941,0.48766,1.18376,1.00949,1.17473,0.00097426,0.00097426,0.00097426
28,562.346,1.21644,1.02955,1.27364,0.79535,0.68454,0.74695,0.49835,1.17971,1.01572,1.15244,0.00097327,0.00097327,0.00097327
29,582.346,1.225,1.02438,1.26963,0.82709,0.66411,0.75305,0.51569,1.1336,0.88803,1.1229,0.00097228,0.00097228,0.00097228
30,602.483,1.21095,1.01676,1.25126,0.82597,0.66829,0.76254,0.51102,1.13956,0.93048,1.13005,0.00097129,0.00097129,0.00097129
31,622.484,1.18533,0.98926,1.24052,0.82042,0.67603,0.76187,0.51398,1.1413,0.88907,1.13042,0.0009703,0.0009703,0.0009703
32,642.413,1.17409,0.98294,1.24481,0.83269,0.67019,0.76668,0.507,1.16713,0.87989,1.14786,0.00096931,0.00096931,0.00096931
33,662.273,1.16169,0.95777,1.23717,0.85585,0.66579,0.76989,0.51479,1.17467,0.87951,1.14561,0.00096832,0.00096832,0.00096832
34,682.277,1.15848,0.95518,1.2252,0.83117,0.6851,0.77892,0.5166,1.15146,0.88492,1.13873,0.00096733,0.00096733,0.00096733
35,702.192,1.1631,0.96085,1.2339,0.8318,0.6764,0.76206,0.49371,1.22682,0.86317,1.17078,0.00096634,0.00096634,0.00096634
36,722.15,1.14799,0.95151,1.22884,0.84346,0.67593,0.78113,0.53091,1.12475,0.85997,1.11536,0.00096535,0.00096535,0.00096535
37,742.033,1.13954,0.93882,1.20221,0.84382,0.69989,0.78829,0.5266,1.16103,0.88973,1.1231,0.00096436,0.00096436,0.00096436
38,762.012,1.13885,0.93975,1.22123,0.85079,0.69777,0.80063,0.56469,1.05408,0.79503,1.08437,0.00096337,0.00096337,0.00096337
39,781.991,1.12946,0.92575,1.22721,0.81428,0.6892,0.77925,0.53844,1.1121,0.85783,1.12674,0.00096238,0.00096238,0.00096238
40,802.113,1.13538,0.93347,1.21586,0.83986,0.6979,0.79539,0.56426,1.03276,0.81269,1.06134,0.00096139,0.00096139,0.00096139
41,821.93,1.11345,0.91432,1.20471,0.8404,0.69561,0.78504,0.5258,1.11581,0.86415,1.11139,0.0009604,0.0009604,0.0009604
42,841.851,1.1376,0.93539,1.21722,0.85738,0.68612,0.78257,0.54984,1.0701,0.81303,1.07884,0.00095941,0.00095941,0.00095941
43,861.725,1.10563,0.89464,1.19432,0.83459,0.68463,0.78086,0.56059,0.99734,0.80569,1.06268,0.00095842,0.00095842,0.00095842
44,880.444,1.10142,0.88532,1.19055,0.82968,0.68203,0.77595,0.55458,1.00303,0.83176,1.06669,0.00095743,0.00095743,0.00095743
45,900.323,1.08688,0.86111,1.18167,0.84315,0.68971,0.7897,0.54496,1.08508,0.78903,1.0939,0.00095644,0.00095644,0.00095644
46,920.226,1.10367,0.8824,1.1924,0.835,0.67629,0.76953,0.50936,1.14376,0.83812,1.11534,0.00095545,0.00095545,0.00095545
47,940.117,1.10079,0.8864,1.20094,0.82604,0.70512,0.78266,0.54173,1.10611,0.83075,1.09956,0.00095446,0.00095446,0.00095446
48,959.949,1.07051,0.88978,1.17606,0.84831,0.69636,0.79247,0.57243,1.00702,0.77519,1.06857,0.00095347,0.00095347,0.00095347
49,979.925,1.07486,0.87338,1.17797,0.83831,0.69073,0.78533,0.56039,1.03163,0.8347,1.08041,0.00095248,0.00095248,0.00095248
50,999.754,1.05756,0.85356,1.16993,0.84689,0.71373,0.80266,0.52622,1.2032,0.79398,1.13036,0.00095149,0.00095149,0.00095149
51,1019.65,1.06171,0.85134,1.18104,0.86757,0.69739,0.79054,0.55177,1.06961,0.78877,1.09236,0.0009505,0.0009505,0.0009505
52,1039.52,1.06166,0.86597,1.17253,0.84986,0.72248,0.80623,0.55732,1.06051,0.76988,1.08472,0.00094951,0.00094951,0.00094951
53,1059.36,1.04445,0.83819,1.16586,0.8696,0.70685,0.81208,0.58343,0.99872,0.75167,1.0649,0.00094852,0.00094852,0.00094852
54,1079.23,1.04607,0.85768,1.1711,0.86034,0.70353,0.80749,0.57717,1.00426,0.76566,1.06067,0.00094753,0.00094753,0.00094753
55,1099,1.03434,0.83393,1.16693,0.82273,0.70103,0.78553,0.56601,0.98137,0.86965,1.08165,0.00094654,0.00094654,0.00094654
56,1118.87,1.03499,0.82395,1.17068,0.88133,0.71941,0.81854,0.56678,1.07131,0.74449,1.07556,0.00094555,0.00094555,0.00094555
57,1138.69,1.05239,0.81694,1.16437,0.85829,0.71016,0.80644,0.57549,1.01575,0.7729,1.05728,0.00094456,0.00094456,0.00094456
58,1158.52,1.0469,0.81984,1.15677,0.85701,0.69973,0.79521,0.57135,0.99421,0.76802,1.06386,0.00094357,0.00094357,0.00094357
59,1178.49,1.04723,0.82655,1.16425,0.87162,0.69182,0.80019,0.54816,1.12274,0.77736,1.11444,0.00094258,0.00094258,0.00094258
60,1198.32,1.02141,0.81649,1.14807,0.86694,0.69739,0.79949,0.57819,0.99364,0.74322,1.05377,0.00094159,0.00094159,0.00094159
61,1218.17,1.02002,0.81823,1.15505,0.86411,0.68305,0.79102,0.58687,0.94753,0.74006,1.04458,0.0009406,0.0009406,0.0009406
62,1238.07,1.0296,0.80702,1.15784,0.84348,0.72145,0.81204,0.58543,0.97395,0.72737,1.04939,0.00093961,0.00093961,0.00093961
